"lang"
{
	"Language"	"Russian"
"DOTA_Tooltip_ability_item_gamble_gold_ring_lore"	"Данный предмет создан благодаря <font color='#fffc00'>HEX</font>"

"DOTA_Tooltip_ability_item_gamble_gold_ring_2" "Золотое Кольцо 'Игра Вентора' 2"
"DOTA_Tooltip_ability_item_gamble_gold_ring_2_Description"  "<h1>Активное: Reroll Stats</h1> Герой получает множество дополнительных бонусов, их количество полностью случайно.Когда вы используете предмет %cast_for_max% раз, то получаете максимальный бонус\n<h1>Возможные бонусы</h1>Сила: от -%str_min% до +%str_max%<br>Ловкость: от -%agi_min% до +%agi_max%<br>Интеллект: от -%int_min% до +%int_max%<br>Урон: от -%dmg_min% до +%dmg_max%<br>Скорость атаки: от -%attack_speed_min% до +%attack_speed_max%<br>Скорость передвижения: от -%movespeed_min% до +%movespeed_max%<br>Броня: от -%armor_min% до +%armor_max%<br>Сопротивление магии: от -%magresist_min%%% до +%magresist_max%%%<br>И многое другое..." 
"DOTA_Tooltip_ability_item_gamble_gold_ring_2_lore"	"Данный предмет создан благодаря <font color='#fffc00'>HEX</font>"

"DOTA_Tooltip_Ability_item_force_staff_2"	"Pull staff"
"DOTA_Tooltip_ability_item_force_staff_2_Description"	"<h1>Активное: Притянуть</h1> Притягивает выбранного союзника к себе. Притянутый союзник получает %bonus_movespeed_time%%% к скорости передвижения на %duration% сек.<br>При использовании на себя толкает героя на расстояние в %push_length% единиц"
"DOTA_Tooltip_ability_item_force_staff_2_Lore"	"Данный предмет создан благодаря <font color='#fffc00'>What's your problem? и Solomon</font>"
"DOTA_Tooltip_ability_item_force_staff_2_bonus_intellect"	"+$int"
"DOTA_Tooltip_ability_item_force_staff_2_bonus_hp_regen"	"+$hp_regen"
"DOTA_Tooltip_ability_item_force_staff_2_bonus_health"		"+$health"
"DOTA_Tooltip_ability_item_force_staff_2_bonus_movespeed"	"+$move_speed"
"DOTA_Tooltip_ability_item_force_staff_2_bonus_armor"		"+$armor"

"DOTA_Tooltip_modifier_item_force_staff_2_buff"	"Pull staff"
"DOTA_Tooltip_modifier_item_force_staff_2_buff_Description"	"Скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% "

"DOTA_Tooltip_Ability_item_excalibur"	"Excalibur"
"DOTA_Tooltip_ability_item_excalibur_Description"	"<h1>Активное: Shockwave</h1> Высвобождает энергию меча в выбранную точку. Энергетическая волна наносит %damage%%% от урона героя\n<h1>Пассивное: Energy Attack</h1> Каждая атака имеет %chance%%% шанс выпустить энергию меча в сторону цели \n<h1>Пассивное: Cleave</h1> Атаки героя наносят %cleave%%% урона врагам в радиусе %radius%"
"DOTA_Tooltip_ability_item_excalibur_Lore"	"Данный предмет создан благодаря <font color='#fffc00'>HEX</font>"
"DOTA_Tooltip_ability_item_excalibur_bonus_damage"	"+$damage"
"DOTA_Tooltip_ability_item_excalibur_bonus_hp_regen"	"+$hp_regen"
"DOTA_Tooltip_ability_item_excalibur_bonus_mana_regen"	"+$mana_regen"

"DOTA_Tooltip_Ability_item_armor_damned"			"Armor of the damned"
"DOTA_Tooltip_ability_item_armor_damned_Description"					"<h1>Активное: Damned Blast</h1> Выпускает волну, которая наносит противникам %damage% + <font color='#00D4FF'>Интеллект</font> магического урона и на %duration_debuff% сек. снижает их скорость передвижения на %movespeed_debuff%%%, скорость атаки на %attack_speed_debuff%, урон на %damage_debuff%%%, регенерацию здоровья на %hp_regen_debuff%%% и увеличивает промахи на %miss_debuff%%%<br><br>Во время этого эффекта на цель не работает пассивная аура<br><br>Радиус: %radius%\n<h1>Пассивное: Damned Aura</h1>Снижает скорость атаки противников на %attack_speed_passive%, урон на %damage_passive%%%, скорость передвижения на %movespeed_passive%%%, а их лечение, восстановление здоровья и вампиризм — на %hp_regen_passive%%%<br><br>Радиус: %radius_passive%"
"DOTA_Tooltip_ability_item_armor_damned_Lore"							"Данный предмет создан благодаря <font color='#fffc00'>HEX</font>"
"DOTA_Tooltip_ability_item_armor_damned_bonus_intellect"				"+$int"
"DOTA_Tooltip_ability_item_armor_damned_bonus_armor"					"+$armor"
"DOTA_Tooltip_ability_item_armor_damned_bonus_hp_regen"				"+$hp_regen"
"DOTA_Tooltip_ability_item_armor_damned_bonus_damage"					"+$damage"

"DOTA_Tooltip_modifier_item_armor_damned_aura"				"Damned Aura"
"DOTA_Tooltip_modifier_item_armor_damned_aura_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%. Урон уменьшен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%. Регенерация здоровья уменьшена на %dMODIFIER_PROPERTY_HEAL_AMPLIFY_PERCENTAGE_SOURCE%%% "

"DOTA_Tooltip_modifier_item_armor_damned_debuff"				"Damned Blast"
"DOTA_Tooltip_modifier_item_armor_damned_debuff_Description"	"Скорость передвижения уменьшена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Скорость атаки уменьшена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%. Урон уменьшен на %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%%. Регенерация здоровья уменьшена на %dMODIFIER_PROPERTY_HEAL_AMPLIFY_PERCENTAGE_SOURCE%%%. Промахи увеличены на %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% "

"DOTA_Tooltip_Ability_item_nuts"			"Nuts"
"DOTA_Tooltip_ability_item_nuts_Description"					"<h1>Активное: Скушать</h1> Даёт владельцу %attack_speed% скорости атаки и %movespeed% скорости передвижения, но запрещает ему применять способности. Действует %duration% сек."
"DOTA_Tooltip_ability_item_nuts_Lore"						"Данный предмет создан благодаря <font color='#fffc00'>†</font>"
"DOTA_Tooltip_ability_item_nuts_bonus_attack_speed"			"+$attack"
"DOTA_Tooltip_ability_item_nuts_bonus_damage"				"+$damage"
"DOTA_Tooltip_ability_item_nuts_lifesteal"					"%+$lifesteal"

"DOTA_Tooltip_modifier_item_nuts_buff"				"Nuts"
"DOTA_Tooltip_modifier_item_nuts_buff_Description"	"Скорость атаки увеличена на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, скорость передвижения увеличена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%, но герой обезмолвлен"

"DOTA_Tooltip_Ability_item_ghoul"			"Маска Гуля"
"DOTA_Tooltip_ability_item_ghoul_Description"					"<h1>Переключаемая: Dead Inside</h1>В маске гуля герой получает эффект Dead Inside. Эффект дарует +%bonus_damage_active% урона, +%movespeed_active% к скорости передвижения, +%bonus_attack_speed_active% к скорости атаки, -%cast_point_active%%% длительности произнесения заклинаний, +%bonus_str_active% силы, %lifesteal_active%%% вампиризма от атак, %magic_lifesteal_active%%% вампиризма от способностей, -%armor_active% к броне и %damage_per_second_active% урона в секунду\n<h1>Пассивное: Повышение ранга</h1>Если вы имеете включенный эффект Dead Inside, то любое убийство героя пополняет заряд маски<br><br>Каждый заряд увеличивает бонусы от эффекта Dead Inside:<br>+%damage_per_charge% к урону за заряд<br>+%lifesteal_per_charge%%% вампиризма за заряд<br>+%spell_lifesteal_per_charge%%% вампиризм от способностей за заряд<br><br>С шансом 10% может поставить паузу при убийстве противника"
"DOTA_Tooltip_ability_item_ghoul_Lore"						"Данный предмет создан благодаря <font color='#fffc00'>Ghoul SSS+ rank</font>"
"DOTA_Tooltip_ability_item_ghoul_bonus_attack_speed"			"+$attack"
"DOTA_Tooltip_ability_item_ghoul_bonus_damage"				"+$damage"
"DOTA_Tooltip_ability_item_ghoul_bonus_hp_regen"				"+$hp_regen"
"DOTA_Tooltip_ability_item_ghoul_lifesteal"				"%+$lifesteal"

"DOTA_Tooltip_modifier_item_ghoul"				"Количество зарядов"
"DOTA_Tooltip_modifier_item_ghoul_Description"	"Каждый заряд увеличивает урон на 1, урон от способностей на 0.5%%, вампиризм на 1%% и вампиризм от способностей на 1.5%% "

"DOTA_Tooltip_modifier_item_ghoul_buff"				"Одета Маска Гуля"
"DOTA_Tooltip_modifier_item_ghoul_buff_Description"	""

"DOTA_Tooltip_Ability_item_podorozhnik"			"Подорожник"
"DOTA_Tooltip_ability_item_podorozhnik_Description"					"<h1>Пассивное: Holy Blessing</h1> Все лечащие заклинания владельца восстанавливают на %bonus_heal_pct%%% больше здоровья"
"DOTA_Tooltip_ability_item_podorozhnik_Lore"						"Данный предмет создан благодаря <font color='#fffc00'>Solomon</font>"

"DOTA_Tooltip_Ability_item_birzha_holy_locket"								"Holy Locket"
"DOTA_Tooltip_ability_item_birzha_holy_locket_Lore"							"Данный предмет создан благодаря <font color='#fffc00'>Solomon</font>"
"DOTA_Tooltip_ability_item_birzha_holy_locket_Note0"						"Применение на себя восстанавливает в 2 раза меньше маны и здоровья"
"DOTA_Tooltip_ability_item_birzha_holy_locket_Description"					"<h1>Активное: Energy Charge</h1>Мгновенно восстанавливает выбранному союзному существу %regen_per_charge% здоровья и маны за каждый имеющийся заряд.<br><br>Может иметь до %max_charges% зарядов. Получает один заряд каждые %charge_cooldown% сек. и каждый раз, когда видимый враг в радиусе %radius% использует способность.\n\n<h1>Пассивное: Holy Blessing</h1>Все лечащие заклинания владельца восстанавливают на %bonus_heal_pct%%% больше здоровья"
"DOTA_Tooltip_ability_item_birzha_holy_locket_bonus_str"					"+$str"
"DOTA_Tooltip_ability_item_birzha_holy_locket_bonus_agi"					"+$agi"
"DOTA_Tooltip_ability_item_birzha_holy_locket_bonus_int"					"+$int"
"DOTA_Tooltip_ability_item_birzha_holy_locket_health"						"+$health"

"DOTA_Tooltip_Ability_item_medkit"							"Аптечка"
"DOTA_Tooltip_ability_item_medkit_Lore"						"Данный предмет создан благодаря <font color='#fffc00'>Solomon</font>"
"DOTA_Tooltip_ability_item_medkit_Description"				"<h1>Активное: Energy Charge</h1>Мгновенно восстанавливает выбранному союзному существу %regen_per_charge% здоровья и маны за каждый имеющийся заряд.<br><br>Может иметь до %max_charges% зарядов. Получает один заряд каждые %charge_cooldown% сек. и каждый раз, когда видимый враг в радиусе %radius% использует способность.\n\n<h1>Пассивное: Holy Blessing</h1>Все лечащие заклинания владельца восстанавливают на %bonus_heal_pct%%% больше здоровья"
"DOTA_Tooltip_ability_item_medkit_Note0"						"Применение на себя восстанавливает в 2 раза меньше маны и здоровья"
"DOTA_Tooltip_ability_item_medkit_bonus_str"					"+$str"
"DOTA_Tooltip_ability_item_medkit_bonus_agi"					"+$agi"
"DOTA_Tooltip_ability_item_medkit_bonus_int"					"+$int"
"DOTA_Tooltip_ability_item_medkit_bonus_hp"						"+$health"
"DOTA_Tooltip_ability_item_medkit_bonus_hp_regen"				"+$hp_regen"
"DOTA_Tooltip_ability_item_medkit_bonus_mana_regen"				"+$mana_regen"

"DOTA_Tooltip_Ability_item_magic_crystalis"									"Magical Crystalys"
"DOTA_Tooltip_ability_item_magic_crystalis_Description"						"<h1>Пассивное: Magical Strike</h1> Каждое заклинание может с вероятностью в %chance%%% нанести %crit%%% урона"
"DOTA_Tooltip_ability_item_magic_crystalis_Lore"							"Данный предмет создан благодаря <font color='#fffc00'>StrangeR</font>"
"DOTA_Tooltip_ability_item_magic_crystalis_bonus_damage"					"+$damage"
"DOTA_Tooltip_ability_item_magic_crystalis_bonus_intellect"					"+$int"
"DOTA_Tooltip_ability_item_magic_crystalis_bonus_attackspeed"					"+$attack"
"DOTA_Tooltip_ability_item_magic_crystalis_bonus_mana_regen"						"+$mana_regen"

"DOTA_Tooltip_Ability_item_magic_daedalus"									"Magical Daedalus"
"DOTA_Tooltip_ability_item_magic_daedalus_Description"						"<h1>Пассивное: Magical Strike</h1>Каждое заклинание может с вероятностью в %chance%%% нанести %crit%%% урона"
"DOTA_Tooltip_ability_item_magic_daedalus_Lore"							"Данный предмет создан благодаря <font color='#fffc00'>StrangeR</font>"
"DOTA_Tooltip_ability_item_magic_daedalus_bonus_damage"					"+$damage"
"DOTA_Tooltip_ability_item_magic_daedalus_bonus_intellect"					"+$int"
"DOTA_Tooltip_ability_item_magic_daedalus_bonus_attackspeed"					"+$attack"
"DOTA_Tooltip_ability_item_magic_daedalus_bonus_mana_regen"						"+$mana_regen"
"DOTA_Tooltip_ability_item_magic_daedalus_bonus_str"					"+$str"
"DOTA_Tooltip_ability_item_magic_daedalus_bonus_agi"					"+$agi"

"DOTA_Tooltip_Ability_item_birzha_ward"									"Сумка для вардов"
"DOTA_Tooltip_ability_item_birzha_ward_Description"						"<h1>Активное: Доставочка</h1> Ставит выбранный вард в указанную точку. Использование предмета снимает золото. <br>За Observer Ward 175/150/125 <br>За Sentry ward 65/55/45\n\n<h1>Пассивное: Улучшение</h1>Сумка имеет 3 уровня <br><br>Каждый уровень требует 0/15/30 помощи в убийствах<br><br>Время восстановления Observer варда 125/105/85 сек.<br><br>Время восстановления Sentry варда 20/15/10 сек.<br><br>Установленный вард стоит на 10/20/30 сек. дольше.<br><br>Каждая помощь в убийстве приносит 75/100/125 золота<br><br>Бонус к основному атрибуту 5/10/20<br><br>+2 к регенерации маны<br><br>Дополнительное золото за разбитый Observer ward 50<br><br>Дополнительное золото за разбитый Sentry ward 25<br><br>Количество Observer вардов 1/1/2<br><br>Количество Sentry вардов 1/2/4"
"DOTA_Tooltip_ability_item_birzha_ward_Lore"							"Данный предмет создан благодаря <font color='#fffc00'>What's your problem?</font>"

"change_sentry"	"Вы поменяли тип на Sentry"
"change_observer"	"Вы поменяли тип на Observer"

"DOTA_Tooltip_modifier_item_birzha_ward"				"Уровень предмета"
"DOTA_Tooltip_modifier_item_birzha_ward_Description"	"На данный момент вы участвовали в %dMODIFIER_PROPERTY_TOOLTIP% убийств"

"DOTA_Tooltip_Ability_item_birzha_contract"									"Контракт с гильдией убийц"
"DOTA_Tooltip_ability_item_birzha_contract_Description"						"<h1>Активное: Заказать Цель</h1> Вызывает выбор цели для контракта<br><br>Если выбранная цель погибает, то убийца и заказчик получают награду за выполненный контракт<br><br>Если же выбранная цель убивает заказчика, то она получает двойную награду за нарушенный контракт"
"DOTA_Tooltip_Ability_item_birzha_contract_Note0"	"Цели контракта отображаются на панели Информация об игре"
"DOTA_Tooltip_Ability_item_birzha_contract_Note1"	""
"DOTA_Tooltip_Ability_item_birzha_contract_Note2"	""
"DOTA_Tooltip_ability_item_birzha_contract_Lore"							"Данный предмет создан благодаря <font color='#fffc00'>What's your problem?</font>"

"contracttext"		"Контракты выдаются 2 худшим игрокам в этой игре<br><br>Базовая награда за контракт 1000 золота и увеличивается за каждый выполненный контракт на 500 золота"
"ContractWillSpawn" "Контракты скоро появятся"
"ContractHasSpawned" "<b>Система контрактов</b><br><br>Два худших игрока получили предмет - Контракт с гильдией убийц"
"AcceptContract"	"выполнил контракт на убийство"
"CancelContract"	"нарушил контракт заказчика"
"system_of_contracts"   "<b>Система контрактов</b><br><br>"

"dota_hud_error_contract_use"		"Выбранная цель уже занята"
"dota_hud_error_contract_target"	"Выбранная цель уже является целью чужого контракта"	
"dota_hud_error_contract_cooldown"	"Временно не может быть целью контракта"

"DOTA_Tooltip_modifier_item_birzha_contract_caster_cd"				"Нельзя подбирать Контракт с гильдией убийц"
"DOTA_Tooltip_modifier_item_birzha_contract_caster_cd_Description"	""

"DOTA_Tooltip_Ability_item_dead_of_madness"									"Dead of Madness"
"DOTA_Tooltip_ability_item_dead_of_madness_Description"						"<h1>Пассивное: Dead Aura</h1> Увеличивает всем подконтрольным существам урон, скорость атаки и броню в зависимости от уровня героя"
"DOTA_Tooltip_Ability_item_dead_of_madness_bonus_magical_resistance"	"%+$spell_resist"
"DOTA_Tooltip_Ability_item_dead_of_madness_bonus_hp_regen"	"+$hp_regen"
"DOTA_Tooltip_Ability_item_dead_of_madness_bonus_armor"	"+$armor"
"DOTA_Tooltip_Ability_item_dead_of_madness_attack_speed_per_level"	"ДОП. СКОРОСТЬ АТАКИ ЗА УРОВЕНЬ"
"DOTA_Tooltip_Ability_item_dead_of_madness_armor_per_level"	"ДОП. БРОНЯ ЗА УРОВЕНЬ"
"DOTA_Tooltip_Ability_item_dead_of_madness_damage_per_level"	"ДОП. УРОН ЗА УРОВЕНЬ"
"DOTA_Tooltip_ability_item_dead_of_madness_Lore"							"Данный предмет создан благодаря <font color='#fffc00'>Stranger</font>"

"DOTA_Tooltip_modifier_item_dead_of_madness_aura"				"Dead of Madness"
"DOTA_Tooltip_modifier_item_dead_of_madness_aura_Description"	""

"DOTA_Tooltip_Ability_item_scp500"									"SCP-500"
"DOTA_Tooltip_Ability_item_scp500_Description"						"<h1>Активное: Таблетка</h1> Накладывает эффект, который полностью восстанавливает ману и здоровье за %duration% сек., уменьшает входящий урон на %damage_reduce%%% и каждые %think% сек. развеивает отрицательные эффекты"
"DOTA_Tooltip_Ability_item_scp500_attributes"						"+$all"
"DOTA_Tooltip_Ability_item_scp500_Lore"								"Данный предмет создан благодаря <font color='#fffc00'>Анигиляторная Пушка</font>"

"DOTA_Tooltip_modifier_item_scp500_buff"							"SCP-500"
"DOTA_Tooltip_modifier_item_scp500_buff_Description"				"Полностью восстанавливает ману и здоровье за действие эффекта. Каждые 1.5 сек. герой развеивает отрицательные эффекты"

"DOTA_Tooltip_Ability_item_gunbai_uchiha"							"Гунбай Учиха"
"DOTA_Tooltip_ability_item_gunbai_uchiha_Description"				"<h1>Активное: Щит</h1> Создаёт вокруг цели щит, отражающий большинство направленных заклинаний обратно во врага. Действует %active_duration% сек.\n<h1>Пассивное: Lol Yasha</h1> Каждая атака накладывает на вас заряд, который увеличивает скорость атаки на %as_stack%. Длительность %proc_duration_self% сек. Максимальное количество зарядов %max_stacks%.<br><br>С вероятностью %proc_chance%%% вы увеличите %proc_ms%%% скорости передвижения на %proc_duration_self% сек."
"DOTA_Tooltip_ability_item_gunbai_uchiha_bonus_armor"				"+$armor"
"DOTA_Tooltip_ability_item_gunbai_uchiha_bonus_health_regen"		"+$hp_regen"
"DOTA_Tooltip_ability_item_gunbai_uchiha_bonus_mana_regen"			"+$mana_regen"
"DOTA_Tooltip_ability_item_gunbai_uchiha_bonus_mana"				"+$mana"
"DOTA_Tooltip_ability_item_gunbai_uchiha_bonus_damage"				"+$damage"
"DOTA_Tooltip_ability_item_gunbai_uchiha_bonus_attack_speed"		"+$attack"
"DOTA_Tooltip_ability_item_gunbai_uchiha_bonus_agility"				"+$agi"
"DOTA_Tooltip_ability_item_gunbai_uchiha_bonus_ms"					"%+$move_speed"
"DOTA_Tooltip_Ability_item_gunbai_uchiha_Lore"						"Данный предмет создан благодаря <font color='#fffc00'>Анигиляторная Пушка</font>"

"DOTA_Tooltip_Ability_item_ethereal_blade_custom"	"Ethereal Blade"
"DOTA_Tooltip_ability_item_ethereal_blade_custom_Description"	"<h1>Активируемая: Ether Blast</h1> Придаёт цели бесплотную форму, которая полностью защищает от физического урона, но не позволяет атаковать и увеличивает получаемый магический урон на %ethereal_damage_bonus%%%. Действует %duration% сек.<br><br>Также замедляет вражескую цель на %blast_movement_slow%%% и наносит ей магический урон в размере %blast_agility_multiplier% * его основной атрибут + %blast_damage_base%"
"DOTA_Tooltip_ability_item_ethereal_blade_custom_bonus_agility"	"+$agi"
"DOTA_Tooltip_ability_item_ethereal_blade_custom_bonus_strength"	"+$str"
"DOTA_Tooltip_ability_item_ethereal_blade_custom_bonus_intellect"	"+$int"
"DOTA_Tooltip_ability_item_ethereal_blade_custom_Lore"	"Этот мерцающий призрачный меч бьёт и и по физическому, и по магическому слою реальности"
"DOTA_Tooltip_ability_item_ethereal_blade_custom_Note0"	"Имеет общее время перезарядки с Ghost Scepter"
"DOTA_Tooltip_ability_item_ethereal_blade_custom_Note1"	"Призрачные юниты получают на 40% больше магического урона"

"DOTA_Tooltip_modifier_item_ethereal_blade_ethereal_custom"	"Ether Blast"
"DOTA_Tooltip_modifier_item_ethereal_blade_ethereal_custom_Description"	"Находится в призрачной форме. Получает увеличенный на %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% магический урон, не может атаковать или быть целью атаки"

"DOTA_Tooltip_modifier_item_ethereal_blade_slow_custom"	"Замедление от Ethereal Blade"
"DOTA_Tooltip_modifier_item_ethereal_blade_slow_custom_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"DOTA_Tooltip_Ability_item_orchid_custom"	"Orchid Malevolence"
"DOTA_Tooltip_ability_item_orchid_custom_Description"	"<h1>Активируемая: Soul Burn</h1>Запрещает выбранной цели использовать способности на %silence_duration% сек. По окончании эффекта жертве наносится магический урон в размере %silence_damage_percent%%% от урона, полученного за время действия"
"DOTA_Tooltip_ability_item_orchid_custom_Lore"	"Гранатовый посох, выкованный из сущности огненного демона"
"DOTA_Tooltip_ability_item_orchid_custom_bonus_intellect"	"+$int"
"DOTA_Tooltip_ability_item_orchid_custom_bonus_attack_speed"	"+$attack"
"DOTA_Tooltip_ability_item_orchid_custom_bonus_damage"	"+$damage"
"DOTA_Tooltip_ability_item_orchid_custom_bonus_mana_regen"	"+$mana_regen"

"DOTA_Tooltip_Ability_item_bloodthorn_custom"	"Bloodthorn"
"DOTA_Tooltip_ability_item_bloodthorn_custom_Description"	"<h1>Активируемая: Soul Rend</h1> Запрещает выбранной цели использовать способности на %silence_duration% сек. По окончании эффекта жертве наносится магический урон в размере %silence_damage_percent%%% от урона, полученного за время действия.<br><br>По цели невозможно промахнуться, а все атаки по ней наносят %target_crit_multiplier%%% урона"
"DOTA_Tooltip_ability_item_bloodthorn_custom_Note0"	"Постройкам дополнительный урон не наносится"
"DOTA_Tooltip_ability_item_bloodthorn_custom_Lore"	"Этот ненавистный клинок впивается в тело извивающейся жертвы сильнее с каждым её предсмертным движением"
"DOTA_Tooltip_ability_item_bloodthorn_custom_bonus_intellect"	"+$int"
"DOTA_Tooltip_ability_item_bloodthorn_custom_bonus_attack_speed"	"+$attack"
"DOTA_Tooltip_ability_item_bloodthorn_custom_bonus_damage"	"+$damage"
"DOTA_Tooltip_ability_item_bloodthorn_custom_bonus_mana_regen"	"+$mana_regen"

"DOTA_Tooltip_modifier_item_orchid_custom_active"					"Orchid Malevolence"
"DOTA_Tooltip_modifier_item_orchid_custom_active_Description"		"Не может применять способности. По окончании эффекта получит магический урон в размере 30%% от урона, полученного во время действия."

"DOTA_Tooltip_modifier_item_bloodthorn_custom_active"				"Bloodthorn"
"DOTA_Tooltip_modifier_item_bloodthorn_custom_active_Description"	"Это существо не может применять способности, а в конце действия ему нанесется магический урон в размере 30%% от полученного урона.\nВсе атаки по этому существу наносят 130%% критического урона."

"DOTA_Tooltip_Ability_item_ananas_custom"	"Ананас"

"DOTA_Tooltip_Ability_item_power_orb"											"Power Orb"
"DOTA_Tooltip_ability_item_power_orb_Description"								"<h1>Активное: Switch Attribute</h1>Меняет атрибут, который получает бонус: +%select_attribute_pct%%% к силе, ловкости или интеллекту.\nНе выбранный атрибут, получает бонус: +%unselect_attribute_pct%%% к силе, ловкости или интеллекту."
"DOTA_Tooltip_ability_item_power_orb_bonus_attributes"							"+$all"
"DOTA_Tooltip_ability_item_power_orb_Lore"										"Данный предмет создан благодаря <font color='#fffc00'>What's your problem?</font>"

"DOTA_Tooltip_Ability_item_magical_rapier"										"Magical Rapier"
"DOTA_Tooltip_Ability_item_magical_rapier_description" 							"<h1>Пассивное: Everlasting</h1> <font color='#e03e2e'>Предмет выпадает при смерти и не может быть уничтожен.</font> <br><br>Если выпавший предмет поднимет союзник владельца, то Magical Rapier потеряет свои свойства, пока его не вернут бывшему владельцу. Если предмет подберёт враг, то после его смерти бонусы от Magical Rapier сможет получить кто угодно. Курьер не может подобрать этот предмет, если он выпал при смерти."
"DOTA_Tooltip_ability_item_magical_rapier_spell_damage"							"%+$spell_amp"
"DOTA_Tooltip_ability_item_magical_rapier_Lore"									"Данный предмет создан благодаря <font color='#fffc00'>What's your problem?</font>"

"DOTA_Tooltip_Ability_item_phylactery_custom"									"Phylactery"
"DOTA_Tooltip_Ability_item_phylactery_custom_Description"						"<h1>Пассивное: Empower Spell</h1>Если ваша способность наносит противнику минимум %min_damage_to_activate% урона, он отдельно получает ещё %bonus_spell_damage% магического урона и замедляется на %slow%%%<br><br>Длительность: %slow_duration% сек."
"DOTA_Tooltip_Ability_item_phylactery_custom_bonus_health"						"+$health"
"DOTA_Tooltip_Ability_item_phylactery_custom_bonus_mana"						"+$mana"
"DOTA_Tooltip_ability_item_phylactery_custom_bonus_all_stats"					"+$all"
"DOTA_Tooltip_Ability_item_phylactery_custom_mana_regen"						"+$mana_regen"

"DOTA_Tooltip_modifier_item_phylactery_custom_debuff"							"Phylactery"
"DOTA_Tooltip_modifier_item_phylactery_custom_debuff_Description"				"Передвижение замедлено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"DOTA_Tooltip_Ability_item_ban_hammer"											"Ban Hammer"
"DOTA_Tooltip_Ability_item_ban_hammer_Description"								"<h1>Активное: Ban Hammer</h1>Призывает метеорит, который бьет по области радиусом %radius%. Удар наносит урон вражеским существам и оглушает их на %stun_duration% сек. и поджигает, нанося периодический урон в течение %damage_duration% сек.<br><br>Урон существам при ударе: %damage_per_hit% <br>Периодический урон существам: %period_damage%<br>Задержка после применения: %land_time% сек.\n<h1>Пассивное: Empower Spell</h1>Если ваша способность наносит противнику минимум %min_damage_to_activate% урона, он отдельно получает ещё %bonus_spell_damage% магического урона и замедляется на %slow%%%<br><br>Длительность: %slow_duration% сек.<br>Перезарядка: %phylactery_cooldown% сек."
"DOTA_Tooltip_Ability_item_ban_hammer_bonus_health"								"+$health"
"DOTA_Tooltip_Ability_item_ban_hammer_bonus_mana"								"+$mana"
"DOTA_Tooltip_ability_item_ban_hammer_bonus_all_stats"							"+$all"
"DOTA_Tooltip_Ability_item_ban_hammer_mana_regen"								"+$mana_regen"
"DOTA_Tooltip_Ability_item_ban_hammer_health_regen"								"+$hp_regen"
"DOTA_Tooltip_ability_item_ban_hammer_Lore"										"Данный предмет создан благодаря <font color='#fffc00'>Happy</font>"

"DOTA_Tooltip_modifier_item_ban_hammer_phylactery_cooldown"						"Ban Hammer"
"DOTA_Tooltip_modifier_item_ban_hammer_phylactery_cooldown_Description"			"Перезарядка эффекта Empower Spell"

"DOTA_Tooltip_modifier_item_ban_hammer_debuff_damage"							"Ban Hammer"
"DOTA_Tooltip_modifier_item_ban_hammer_debuff_damage_Description"				"Получает периодический урон"

"DOTA_Tooltip_Ability_item_mystic_blade_custom"									"Mystic Blade"
"DOTA_Tooltip_ability_item_mystic_blade_custom_Description"						"<h1>Активируемая: Ether Blast</h1> Придаёт цели бесплотную форму, которая полностью защищает от физического урона, но не позволяет атаковать и увеличивает получаемый магический урон на %ethereal_damage_bonus%%%. Действует %duration% сек.<br><br>Также замедляет вражескую цель на %blast_movement_slow%%% и наносит ей магический урон в размере %blast_agility_multiplier% * ваш основной атрибут + %blast_damage_base%"
"DOTA_Tooltip_ability_item_mystic_blade_custom_bonus_agility"					"+$agi"
"DOTA_Tooltip_ability_item_mystic_blade_custom_bonus_strength"					"+$str"
"DOTA_Tooltip_ability_item_mystic_blade_custom_bonus_intellect"					"+$int"
"DOTA_Tooltip_ability_item_mystic_blade_custom_Lore"							"Этот мерцающий призрачный меч бьёт и и по физическому, и по магическому слою реальности"
"DOTA_Tooltip_ability_item_mystic_blade_custom_Note0"							"Имеет общее время перезарядки с Ghost Scepter"
